ITL_code,Region_name,SIC07_code,SIC07_description,year,value
TLC3,Tees Valley,A-E,Production sector,1998,2239
TLC3,Tees Valley,A-E,Production sector,1999,2167
TLC3,Tees Valley,A-E,Production sector,2000,2162
TLC3,Tees Valley,A-E,Production sector,2001,1881
TLC3,Tees Valley,A-E,Production sector,2002,1984
TLC3,Tees Valley,A-E,Production sector,2003,2188
TLC3,Tees Valley,A-E,Production sector,2004,2115
TLC3,Tees Valley,A-E,Production sector,2005,2087
TLC3,Tees Valley,A-E,Production sector,2006,2090
TLC3,Tees Valley,A-E,Production sector,2007,2133
TLC3,Tees Valley,A-E,Production sector,2008,2359
TLC3,Tees Valley,A-E,Production sector,2009,2281
TLC3,Tees Valley,A-E,Production sector,2010,2306
TLC3,Tees Valley,A-E,Production sector,2011,2147
TLC3,Tees Valley,A-E,Production sector,2012,2166
TLC3,Tees Valley,A-E,Production sector,2013,2267
TLC3,Tees Valley,A-E,Production sector,2014,2243
TLC3,Tees Valley,A-E,Production sector,2015,2339
TLC3,Tees Valley,A-E,Production sector,2016,2270
TLC3,Tees Valley,A-E,Production sector,2017,2147
TLC3,Tees Valley,A-E,Production sector,2018,2196
TLC3,Tees Valley,A-E,Production sector,2019,2234
TLC3,Tees Valley,A-E,Production sector,2020,2189
TLC3,Tees Valley,A-E,Production sector,2021,2122
TLC3,Tees Valley,A-E,Production sector,2022,2184
TLC3,Tees Valley,A-E,Production sector,2023,2160
TLC3,Tees Valley,F (41-43),Construction,1998,393
TLC3,Tees Valley,F (41-43),Construction,1999,471
TLC3,Tees Valley,F (41-43),Construction,2000,545
TLC3,Tees Valley,F (41-43),Construction,2001,548
TLC3,Tees Valley,F (41-43),Construction,2002,570
TLC3,Tees Valley,F (41-43),Construction,2003,691
TLC3,Tees Valley,F (41-43),Construction,2004,709
TLC3,Tees Valley,F (41-43),Construction,2005,777
TLC3,Tees Valley,F (41-43),Construction,2006,768
TLC3,Tees Valley,F (41-43),Construction,2007,874
TLC3,Tees Valley,F (41-43),Construction,2008,844
TLC3,Tees Valley,F (41-43),Construction,2009,797
TLC3,Tees Valley,F (41-43),Construction,2010,708
TLC3,Tees Valley,F (41-43),Construction,2011,741
TLC3,Tees Valley,F (41-43),Construction,2012,713
TLC3,Tees Valley,F (41-43),Construction,2013,747
TLC3,Tees Valley,F (41-43),Construction,2014,819
TLC3,Tees Valley,F (41-43),Construction,2015,847
TLC3,Tees Valley,F (41-43),Construction,2016,864
TLC3,Tees Valley,F (41-43),Construction,2017,865
TLC3,Tees Valley,F (41-43),Construction,2018,931
TLC3,Tees Valley,F (41-43),Construction,2019,988
TLC3,Tees Valley,F (41-43),Construction,2020,748
TLC3,Tees Valley,F (41-43),Construction,2021,935
TLC3,Tees Valley,F (41-43),Construction,2022,987
TLC3,Tees Valley,F (41-43),Construction,2023,1173
TLC3,Tees Valley,G-T,Services sector,1998,4041
TLC3,Tees Valley,G-T,Services sector,1999,4285
TLC3,Tees Valley,G-T,Services sector,2000,4468
TLC3,Tees Valley,G-T,Services sector,2001,4864
TLC3,Tees Valley,G-T,Services sector,2002,5199
TLC3,Tees Valley,G-T,Services sector,2003,5532
TLC3,Tees Valley,G-T,Services sector,2004,6202
TLC3,Tees Valley,G-T,Services sector,2005,6407
TLC3,Tees Valley,G-T,Services sector,2006,6876
TLC3,Tees Valley,G-T,Services sector,2007,6997
TLC3,Tees Valley,G-T,Services sector,2008,7164
TLC3,Tees Valley,G-T,Services sector,2009,7398
TLC3,Tees Valley,G-T,Services sector,2010,7600
TLC3,Tees Valley,G-T,Services sector,2011,7827
TLC3,Tees Valley,G-T,Services sector,2012,7976
TLC3,Tees Valley,G-T,Services sector,2013,8156
TLC3,Tees Valley,G-T,Services sector,2014,8550
TLC3,Tees Valley,G-T,Services sector,2015,9050
TLC3,Tees Valley,G-T,Services sector,2016,9104
TLC3,Tees Valley,G-T,Services sector,2017,9142
TLC3,Tees Valley,G-T,Services sector,2018,9244
TLC3,Tees Valley,G-T,Services sector,2019,9470
TLC3,Tees Valley,G-T,Services sector,2020,9326
TLC3,Tees Valley,G-T,Services sector,2021,10056
TLC3,Tees Valley,G-T,Services sector,2022,11209
TLC3,Tees Valley,G-T,Services sector,2023,11928
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,1998,5530
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,1999,5272
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2000,5318
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2001,5228
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2002,5757
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2003,5913
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2004,6066
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2005,6125
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2006,6565
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2007,6737
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2008,7059
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2009,7099
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2010,7301
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2011,6902
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2012,7209
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2013,7470
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2014,7628
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2015,7762
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2016,7885
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2017,8114
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2018,8174
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2019,8777
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2020,8354
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2021,8216
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2022,8283
TLC4,"Northumberland, Durham and Tyne & Wear",A-E,Production sector,2023,9776
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,1998,1150
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,1999,1273
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2000,1321
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2001,1410
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2002,1592
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2003,1688
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2004,1843
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2005,2029
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2006,2096
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2007,2112
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2008,2091
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2009,1761
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2010,1757
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2011,1859
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2012,1849
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2013,1905
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2014,2039
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2015,2242
TLC4,"Northumberland, Durham and Tyne & Wear",F (41-43),Construction,2016,2199
